Contrast,Duration,Spread,PixelEnergy,PixelEnergy_mean,SpectralEnergy,NormalizedSpectralEnergy
0.02,0.09,40,1057172.0792,6.45156062808566,173231388413.95,0.00578920037553687
0.02,0.09,45,1057172.0792,6.45156062808566,173231388413.949,0.00578920037553687
0.02,0.09,50,1057172.0792,6.45156062808566,173231388413.949,0.00578920037553687
0.02,0.1,5,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,10,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,15,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,20,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,25,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,30,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,35,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,40,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,45,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.1,50,1208197.5836,6.45156554957495,226261577875.939,0.00756141034024913
0.02,0.12,5,1359223.088,6.45156937739995,286362479402.928,0.00956991563987029
0.02,0.12,10,1359223.088,6.45156937739995,286362479402.928,0.00956991563987027
0.02,0.12,15,1359223.088,6.45156937739995,286362479402.928,0.00956991563987027
0.02,0.12,20,1359223.088,6.45156937739995,286362479402.928,0.00956991563987028
0.02,0.12,25,1359223.088,6.45156937739995,286362479402.928,0.00956991563987028
0.02,0.12,30,1359223.088,6.45156937739995,286362479402.928,0.00956991563987027
0.02,0.12,35,1359223.088,6.45156937739995,286362479402.928,0.00956991563987028
0.02,0.12,40,1359223.088,6.45156937739995,286362479402.928,0.00956991563987028
0.02,0.12,45,1359223.088,6.45156937739996,286362479402.928,0.00956991563987028
0.02,0.12,50,1359223.088,6.45156937739995,286362479402.928,0.00956991563987028
0.02,0.15,5,1812299.6012,6.45157703304997,509089456373.889,0.0170132035481871
0.02,0.15,10,1812299.6012,6.45157703304997,509089456373.889,0.0170132035481871
0.02,0.15,15,1812299.6012,6.45157703304997,509089456373.89,0.0170132035481871
0.02,0.15,20,1812299.6012,6.45157703304997,509089456373.889,0.0170132035481871
0.02,0.15,25,1812299.6012,6.45157703304996,509089456373.889,0.0170132035481871
0.02,0.15,30,1812299.6012,6.45157703304997,509089456373.889,0.0170132035481871
0.02,0.15,35,1812299.6012,6.45157703304997,509089456373.89,0.0170132035481871
0.02,0.15,40,1812299.6012,6.45157703304997,509089456373.889,0.0170132035481871
0.02,0.15,45,1812299.6012,6.45157703304997,509089456373.889,0.0170132035481871
0.02,0.15,50,1812299.6012,6.45157703304996,509089456373.889,0.0170132035481871
0.02,0.18,5,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.18,10,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.18,15,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.18,20,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.18,25,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.18,30,2114350.61,6.45158031404283,692927668012.859,0.0231568721616094
0.02,0.18,35,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.18,40,2114350.61,6.45158031404283,692927668012.859,0.0231568721616094
0.02,0.18,45,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.18,50,2114350.61,6.45158031404283,692927668012.86,0.0231568721616094
0.02,0.2,5,2265376.1144,6.45158162643997,795452841929.844,0.0265831494706839
0.02,0.2,10,2265376.1144,6.45158162643998,795452841929.844,0.0265831494706839
